File,PN,Mean,Amplitude,STDDEV,Precision
cornet_adam_epoch49_IT_activation_curves.csv,PN_1,-0.6230180299395439,0.9101813983673314,5.1059055895773415,0.03835786616387238
cornet_adam_epoch49_IT_activation_curves.csv,PN_8,10.58956008509294,1.2653393400600792,3.7438991827016146,0.07134305612411605
cornet_adam_epoch49_IT_activation_curves.csv,PN_5,5.438225664002739,1.0101578416089851,2.796541003797229,0.12786674712218807
cornet_adam_epoch49_IT_activation_curves.csv,PN_7,6.962813944421546,0.9934765587633321,3.338517364916433,0.08972071398564065
cornet_adam_epoch49_IT_activation_curves.csv,PN_3,3.6270597073220037,0.9630988001599604,2.673482126998484,0.1399089282875718
cornet_adam_epoch49_IT_activation_curves.csv,PN_2,2.4697761045487394,0.8962707797361669,2.7886818411343257,0.1285884799556053
cornet_adam_epoch49_IT_activation_curves.csv,PN_4,4.4180729821114895,0.9764499259155738,2.7316019230431587,0.13401863196169878
cornet_adam_epoch49_IT_activation_curves.csv,PN_6,6.1734064463430895,1.0094645648846325,2.910521759663569,0.1180479090603872
cornet_adam_epoch49_V1_activation_curves.csv,PN_8,56.40747949188359,1.6489876711225244,47.87447565899508,0.000436306757265202
cornet_adam_epoch49_V1_activation_curves.csv,PN_1,-38.00620475027788,1.1306885453910016,66.44206220248626,0.0002265237763588568
cornet_adam_epoch49_V1_activation_curves.csv,PN_7,8.709854178319342,0.9748287583603161,14.166331719852828,0.0049829345852316935
cornet_adam_epoch49_V1_activation_curves.csv,PN_5,5.759894594828893,0.9633331689211218,11.36864115875329,0.007737183248225519
cornet_adam_epoch49_V1_activation_curves.csv,PN_3,4.031290642955674,0.9402078075253706,12.492407763834215,0.006407781538629356
cornet_adam_epoch49_V1_activation_curves.csv,PN_6,7.434899722457555,0.9720279904841814,12.993363051655832,0.005923206221568226
cornet_adam_epoch49_V1_activation_curves.csv,PN_4,6.005284134687439,0.967127930878326,10.527172285880656,0.009023531502019837
cornet_adam_epoch49_V2_activation_curves.csv,PN_6,8.378199105343164,0.9588053651464161,10.128876028463807,0.009747146390334109
cornet_adam_epoch49_V2_activation_curves.csv,PN_7,11.730105776026718,1.0175100890801823,12.001460731759813,0.006942754091335722
cornet_adam_epoch49_V2_activation_curves.csv,PN_8,31.654794233357578,1.7727379030299266,21.851629026523067,0.0020942685078613886
cornet_adam_epoch49_V2_activation_curves.csv,PN_5,7.135508759182774,0.9502323024322837,10.288026365322173,0.009447912508634202
cornet_adam_epoch49_V2_activation_curves.csv,PN_4,6.114930862512989,0.9547179329630415,10.202154558666425,0.00960762852109391
cornet_adam_epoch49_V2_activation_curves.csv,PN_2,-3.853094018559503,0.9880250281354653,28.549902521277247,0.0012268479469355568
cornet_adam_epoch49_V2_activation_curves.csv,PN_3,3.455576466356609,0.9584112150648684,15.49336230072379,0.00416589813862778
cornet_adam_epoch49_V4_activation_curves.csv,PN_8,14.4711182953126,1.1564279701946028,11.684963499759506,0.007323948465329771
cornet_adam_epoch49_V4_activation_curves.csv,PN_6,7.526828187008231,0.9596166014878267,8.160452727513395,0.015016595879709925
cornet_adam_epoch49_V4_activation_curves.csv,PN_7,9.121170911883778,0.9873905934948987,8.728591371498359,0.013125373630638744
cornet_adam_epoch49_V4_activation_curves.csv,PN_5,6.2802374320374295,0.955960691195307,7.4900833475378885,0.01782488346165393
cornet_adam_epoch49_V4_activation_curves.csv,PN_4,5.203594929747656,0.9574707101399522,8.20186151402884,0.014865349892136297
cornet_adam_epoch49_V4_activation_curves.csv,PN_2,1.3904497772911308,0.956125619729003,13.307376917159834,0.005646964844789138
cornet_adam_epoch49_V4_activation_curves.csv,PN_3,3.9804661225194025,0.9519247668995933,10.270732432905644,0.009479756220152612
cornet_pretrained_epoch49_IT_activation_curves.csv,PN_8,7.821003192305617,0.9671662753434649,6.380221373286169,0.024565663849539978
cornet_pretrained_epoch49_IT_activation_curves.csv,PN_1,3.1505099863062536,0.7123816532498902,7.420696438798361,0.01815978355055818
cornet_pretrained_epoch49_IT_activation_curves.csv,PN_5,5.66769984388013,0.9764206514810162,5.117133329667415,0.038189725275179685
cornet_pretrained_epoch49_IT_activation_curves.csv,PN_7,6.7344181168788015,0.9736870908096249,5.517731506491557,0.03284572650432649
cornet_pretrained_epoch49_IT_activation_curves.csv,PN_3,4.830313224869445,0.9578219879267043,5.044834549606176,0.03929218178418227
cornet_pretrained_epoch49_IT_activation_curves.csv,PN_2,4.022675168619458,0.9042789408469886,5.2617658389248225,0.03611910380045873
cornet_pretrained_epoch49_IT_activation_curves.csv,PN_4,5.195078551680801,0.9742235441793293,5.004554011017546,0.03992723525024471
cornet_pretrained_epoch49_IT_activation_curves.csv,PN_6,6.071600494980518,0.9771995853784817,5.180188850623877,0.0372656597504693
cornet_pretrained_epoch49_V1_activation_curves.csv,PN_1,-49.58678531288265,1.1812303761110994,81.56147560523804,0.00015032452879513425
cornet_pretrained_epoch49_V1_activation_curves.csv,PN_3,5.18895564086411,0.9683695372524473,15.403084753638598,0.004214873937354093
cornet_pretrained_epoch49_V1_activation_curves.csv,PN_4,6.056454639849478,0.972451388816217,14.835559633789678,0.004543516742838933
cornet_pretrained_epoch49_V1_activation_curves.csv,PN_5,6.2623769023260865,0.9617909553261605,13.027332468735311,0.005892356385914151
cornet_pretrained_epoch49_V1_activation_curves.csv,PN_6,8.080512869324826,0.9735530554358512,15.30510938102316,0.004269009532520098
cornet_pretrained_epoch49_V1_activation_curves.csv,PN_7,11.63266506571279,0.9961151941746645,19.546882989490612,0.0026172485842791762
